judge,selector,coverage,risk
LLaVA-Critic,judge_margin,0.85,1.0274994265187172
LLaVA-Critic,judge_margin,0.9,1.0284283347912482
LLaVA-Critic,judge_margin,0.95,1.027256854480907
LLaVA-Critic,judge_margin,1.0,1.0329216667249763
LLaVA-Critic,judge_entropy,0.05,0.8864529794896864
LLaVA-Critic,judge_entropy,0.1,0.8089730744786325
LLaVA-Critic,judge_entropy,0.15,0.82919156060421
LLaVA-Critic,judge_entropy,0.2,0.8652937852962532
LLaVA-Critic,judge_entropy,0.25,0.8957697209958235
LLaVA-Critic,judge_entropy,0.3,0.8973480599353849
LLaVA-Critic,judge_entropy,0.35,0.9107607707536155
LLaVA-Critic,judge_entropy,0.39999999999999997,0.9331123959833011
LLaVA-Critic,judge_entropy,0.44999999999999996,0.9473093881376382
LLaVA-Critic,judge_entropy,0.49999999999999994,0.9622881060296858
LLaVA-Critic,judge_entropy,0.5499999999999999,0.9735468145162184
LLaVA-Critic,judge_entropy,0.6,0.9822148144771995
LLaVA-Critic,judge_entropy,0.65,1.001518401430554
LLaVA-Critic,judge_entropy,0.7,1.0109310342820497
LLaVA-Critic,judge_entropy,0.75,1.0178384244238452
LLaVA-Critic,judge_entropy,0.7999999999999999,1.0210438952765974
LLaVA-Critic,judge_entropy,0.85,1.022797236903477
LLaVA-Critic,judge_entropy,0.9,1.0264505676400306
LLaVA-Critic,judge_entropy,0.95,1.0237893259685777
LLaVA-Critic,judge_entropy,1.0,1.0329216667249763
LLaVA-Critic,oracle,0.05,0.0
LLaVA-Critic,random,0.05,1.0284741091762677
LLaVA-Critic,oracle,0.1,0.0
LLaVA-Critic,random,0.1,1.0341864986096403
LLaVA-Critic,oracle,0.15,0.0
LLaVA-Critic,random,0.15,1.0335636584700354
LLaVA-Critic,oracle,0.2,0.0
LLaVA-Critic,random,0.2,1.0320275728348858
LLaVA-Critic,oracle,0.25,0.0
LLaVA-Critic,random,0.25,1.0318967562860013
LLaVA-Critic,oracle,0.3,0.0
LLaVA-Critic,random,0.3,1.0324165320078285
LLaVA-Critic,oracle,0.35,0.07802970878842885
LLaVA-Critic,random,0.35,1.0325698100333198
LLaVA-Critic,oracle,0.39999999999999997,0.19328347379650854
LLaVA-Critic,random,0.39999999999999997,1.03214902442399
LLaVA-Critic,oracle,0.44999999999999996,0.28292377600780455
LLaVA-Critic,random,0.44999999999999996,1.0319051133889217
LLaVA-Critic,oracle,0.49999999999999994,0.3546350721060895
LLaVA-Critic,random,0.49999999999999994,1.0312932959364913
LLaVA-Critic,oracle,0.5499999999999999,0.41330733036388034
LLaVA-Critic,random,0.5499999999999999,1.031341858332053
LLaVA-Critic,oracle,0.6,0.462200455276232
LLaVA-Critic,random,0.6,1.0308324151807762
LLaVA-Critic,oracle,0.65,0.5035712619897567
LLaVA-Critic,random,0.65,1.0307211567241987
LLaVA-Critic,oracle,0.7,0.5390317359113815
LLaVA-Critic,random,0.7,1.0306942841813578
LLaVA-Critic,oracle,0.75,0.5706192134554777
LLaVA-Critic,random,0.75,1.031294717594899
LLaVA-Critic,oracle,0.7999999999999999,0.6576727414486359
LLaVA-Critic,random,0.7999999999999999,1.031835518753815
LLaVA-Critic,oracle,0.85,0.736635497867584
LLaVA-Critic,random,0.85,1.0319354549760946
LLaVA-Critic,oracle,0.9,0.8068243668412658
LLaVA-Critic,random,0.9,1.0321193243894298
LLaVA-Critic,oracle,0.95,0.9072921637427884
LLaVA-Critic,random,0.95,1.032384160732152
LLaVA-Critic,oracle,1.0,1.0329216667249763
LLaVA-Critic,random,1.0,1.0329216667249763
Phi-4,cp_width,0.05,0.8571469179154014
Phi-4,cp_width,0.1,0.8584755199055337
Phi-4,cp_width,0.15,0.8760378522603287
Phi-4,cp_width,0.2,0.8797134917851197
Phi-4,cp_width,0.25,0.8784901622879381
Phi-4,cp_width,0.3,0.8899106056463308
Phi-4,cp_width,0.35,0.9022387880460965
Phi-4,cp_width,0.39999999999999997,0.9106099290682519
Phi-4,cp_width,0.44999999999999996,0.9155214137642467
Phi-4,cp_width,0.49999999999999994,0.9164386021486013
Phi-4,cp_width,0.5499999999999999,0.9226528002327237
Phi-4,cp_width,0.6,0.9264672009438684
Phi-4,cp_width,0.65,0.9325263493099974
Phi-4,cp_width,0.7,0.9378147062506407
Phi-4,cp_width,0.75,0.9417441588339125
Phi-4,cp_width,0.7999999999999999,0.9538601104462051
Phi-4,cp_width,0.85,0.9638411465814161
Phi-4,cp_width,0.9,0.9796577039712508
Phi-4,cp_width,0.95,0.9950759251436936
Phi-4,cp_width,1.0,1.0039258682888874
Phi-4,judge_margin,0.05,1.0191426704759297
Phi-4,judge_margin,0.1,0.9849433569443967
Phi-4,judge_margin,0.15,0.9503780981686987
Phi-4,judge_margin,0.2,0.946155835691176
Phi-4,judge_margin,0.25,0.9327560242980772
Phi-4,judge_margin,0.3,0.9374785746492761
Phi-4,judge_margin,0.35,0.9441268534398211
Phi-4,judge_margin,0.39999999999999997,0.9509868131899096
Phi-4,judge_margin,0.44999999999999996,0.9572499105262863
Phi-4,judge_margin,0.49999999999999994,0.9576539939336529
Phi-4,judge_margin,0.5499999999999999,0.9639459388553238
Phi-4,judge_margin,0.6,0.9682196604188569
Phi-4,judge_margin,0.65,0.9711060065992411
Phi-4,judge_margin,0.7,0.98061152220903
Phi-4,judge_margin,0.75,0.9869506927391591
Phi-4,judge_margin,0.7999999999999999,0.9948154425767376
Phi-4,judge_margin,0.85,0.9970348542875297
Phi-4,judge_margin,0.9,0.9993329833209279
Phi-4,judge_margin,0.95,1.002516350737036
Phi-4,judge_margin,1.0,1.0039258682888874
Phi-4,judge_entropy,0.05,1.039639322052293
Phi-4,judge_entropy,0.1,0.9966427907030642
Phi-4,judge_entropy,0.15,0.9573049938118026
Phi-4,judge_entropy,0.2,0.9443041548211217
Phi-4,judge_entropy,0.25,0.9334216074726488
Phi-4,judge_entropy,0.3,0.9373217616488263
Phi-4,judge_entropy,0.35,0.9431419146573349
Phi-4,judge_entropy,0.39999999999999997,0.9515305984666187
Phi-4,judge_entropy,0.44999999999999996,0.9551493723141259
